Users,Datasets,Add,Remove,Keep,Tasks,Phase
1,birdstrikes1,1,0,2,t1,First
1,birdstrikes1,0,0,7,t1,Second
1,birdstrikes1,1,0,0,t2,First
1,birdstrikes1,1,0,2,t2,Second
1,birdstrikes1,2,0,2,t3,First
1,birdstrikes1,1,0,0,t3,Second
1,birdstrikes1,3,3,2,t4,First
1,birdstrikes1,6,5,4,t4,Second
5,birdstrikes1,4,0,9,t1,First
5,birdstrikes1,2,5,4,t1,Second
5,birdstrikes1,2,0,4,t2,First
5,birdstrikes1,0,0,3,t2,Second
5,birdstrikes1,3,1,6,t3,First
5,birdstrikes1,2,2,10,t3,Second
5,birdstrikes1,7,3,12,t4,First
5,birdstrikes1,5,1,8,t4,Second
9,birdstrikes1,2,0,7,t1,First
9,birdstrikes1,7,7,3,t1,Second
9,birdstrikes1,7,6,1,t2,First
9,birdstrikes1,3,1,2,t2,Second
9,birdstrikes1,2,2,0,t3,First
9,birdstrikes1,7,4,4,t3,Second
9,birdstrikes1,8,3,4,t4,First
9,birdstrikes1,6,4,15,t4,Second
109,birdstrikes1,4,0,3,t1,First
109,birdstrikes1,2,1,6,t1,Second
109,birdstrikes1,4,2,1,t2,First
109,birdstrikes1,1,1,7,t2,Second
109,birdstrikes1,2,1,3,t3,First
109,birdstrikes1,3,1,29,t3,Second
109,birdstrikes1,4,3,9,t4,First
109,birdstrikes1,0,1,5,t4,Second
13,birdstrikes1,6,4,1,t1,First
13,birdstrikes1,10,0,0,t1,Second
13,birdstrikes1,3,1,7,t2,First
13,birdstrikes1,0,0,4,t2,Second
13,birdstrikes1,4,3,5,t3,First
13,birdstrikes1,2,0,7,t3,Second
13,birdstrikes1,2,2,3,t4,First
13,birdstrikes1,4,3,7,t4,Second
25,birdstrikes1,9,5,12,t1,First
25,birdstrikes1,4,1,9,t1,Second
25,birdstrikes1,2,0,4,t2,First
25,birdstrikes1,0,0,3,t2,Second
25,birdstrikes1,5,2,1,t3,First
25,birdstrikes1,3,4,7,t3,Second
25,birdstrikes1,7,4,13,t4,First
25,birdstrikes1,3,4,7,t4,Second
29,birdstrikes1,1,0,0,t1,First
29,birdstrikes1,0,0,0,t1,Second
29,birdstrikes1,4,2,4,t2,First
29,birdstrikes1,0,0,2,t2,Second
29,birdstrikes1,4,1,5,t3,First
29,birdstrikes1,0,0,6,t3,Second
29,birdstrikes1,6,3,6,t4,First
29,birdstrikes1,3,3,6,t4,Second
33,birdstrikes1,7,3,1,t1,First
33,birdstrikes1,0,0,4,t1,Second
33,birdstrikes1,3,0,9,t2,First
33,birdstrikes1,0,0,14,t2,Second
33,birdstrikes1,3,1,15,t3,First
33,birdstrikes1,0,0,15,t3,Second
33,birdstrikes1,7,3,11,t4,First
33,birdstrikes1,7,5,10,t4,Second
37,birdstrikes1,1,0,0,t1,First
37,birdstrikes1,4,0,3,t1,Second
37,birdstrikes1,4,2,3,t2,First
37,birdstrikes1,1,0,4,t2,Second
37,birdstrikes1,3,1,3,t3,First
37,birdstrikes1,2,1,2,t3,Second
37,birdstrikes1,8,5,5,t4,First
37,birdstrikes1,10,11,3,t4,Second
53,birdstrikes1,4,1,5,t1,First
53,birdstrikes1,6,6,4,t1,Second
53,birdstrikes1,2,0,6,t2,First
53,birdstrikes1,0,0,2,t2,Second
53,birdstrikes1,3,1,5,t3,First
53,birdstrikes1,2,1,3,t3,Second
53,birdstrikes1,4,2,6,t4,First
53,birdstrikes1,5,5,1,t4,Second
57,birdstrikes1,5,1,0,t1,First
57,birdstrikes1,0,0,11,t1,Second
57,birdstrikes1,5,2,2,t2,First
57,birdstrikes1,1,1,10,t2,Second
57,birdstrikes1,2,0,6,t3,First
57,birdstrikes1,0,0,5,t3,Second
57,birdstrikes1,4,0,11,t4,First
57,birdstrikes1,6,5,5,t4,Second
61,birdstrikes1,10,3,21,t1,First
61,birdstrikes1,1,0,21,t1,Second
61,birdstrikes1,1,4,2,t2,First
61,birdstrikes1,0,0,1,t2,Second
61,birdstrikes1,3,2,3,t3,First
61,birdstrikes1,3,2,14,t3,Second
61,birdstrikes1,0,1,6,t4,First
61,birdstrikes1,1,0,5,t4,Second
73,birdstrikes1,6,0,1,t1,First
73,birdstrikes1,3,1,3,t1,Second
73,birdstrikes1,3,1,14,t2,First
73,birdstrikes1,0,0,25,t2,Second
73,birdstrikes1,5,1,5,t3,First
73,birdstrikes1,1,0,6,t3,Second
73,birdstrikes1,3,5,5,t4,First
73,birdstrikes1,6,8,8,t4,Second
77,birdstrikes1,3,0,6,t1,First
77,birdstrikes1,1,0,2,t1,Second
77,birdstrikes1,2,0,12,t2,First
77,birdstrikes1,1,0,3,t2,Second
77,birdstrikes1,3,2,13,t3,First
77,birdstrikes1,7,4,7,t3,Second
77,birdstrikes1,3,3,12,t4,First
77,birdstrikes1,4,4,15,t4,Second
