Users,Datasets,Add,Remove,Keep,Phase
1,birdstrikes1,0.29,0.1,0.62,First
1,birdstrikes1,0.38,0.38,0.25,Second
5,birdstrikes1,0.23,0.2,0.57,First
5,birdstrikes1,0.28,0.13,0.59,Second
9,birdstrikes1,0.41,0.33,0.27,First
9,birdstrikes1,0.37,0.24,0.39,Second
109,birdstrikes1,0.31,0.15,0.54,First
109,birdstrikes1,0.09,0.11,0.8,Second
13,birdstrikes1,0.51,0.18,0.31,First
13,birdstrikes1,0.26,0.21,0.52,Second
25,birdstrikes1,0.32,0.17,0.51,First
25,birdstrikes1,0.27,0.24,0.49,Second
29,birdstrikes1,0.38,0.21,0.42,First
29,birdstrikes1,0.26,0.2,0.54,Second
33,birdstrikes1,0.21,0.1,0.7,First
33,birdstrikes1,0.24,0.16,0.6,Second
37,birdstrikes1,0.43,0.17,0.4,First
37,birdstrikes1,0.41,0.39,0.2,Second
53,birdstrikes1,0.32,0.21,0.47,First
53,birdstrikes1,0.37,0.3,0.33,Second
57,birdstrikes1,0.29,0.13,0.58,First
57,birdstrikes1,0.25,0.15,0.6,Second
61,birdstrikes1,0.21,0.14,0.65,First
61,birdstrikes1,0.11,0.08,0.81,Second
73,birdstrikes1,0.24,0.07,0.69,First
73,birdstrikes1,0.23,0.33,0.44,Second
77,birdstrikes1,0.22,0.09,0.7,First
77,birdstrikes1,0.22,0.19,0.59,Second
81,birdstrikes1,0.26,0.18,0.56,First
81,birdstrikes1,0.39,0.16,0.45,Second
85,birdstrikes1,0.47,0.33,0.2,First
85,birdstrikes1,0.24,0.18,0.58,Second
97,birdstrikes1,0.18,0.06,0.76,First
97,birdstrikes1,0.21,0.13,0.66,Second
1,weather1,0.24,0.22,0.53,First
1,weather1,0.19,0.12,0.69,Second
5,weather1,0.21,0.14,0.65,First
5,weather1,0.23,0.12,0.65,Second
113,weather1,0.36,0.24,0.39,First
113,weather1,0.19,0.15,0.66,Second
117,weather1,0.38,0.11,0.51,First
117,weather1,0.19,0.12,0.69,Second
21,weather1,0.33,0.1,0.57,First
21,weather1,0.5,0.3,0.2,Second
25,weather1,0.32,0.07,0.61,First
25,weather1,0.21,0.13,0.66,Second
29,weather1,0.2,0.1,0.7,First
29,weather1,0.12,0.03,0.85,Second
41,weather1,0.29,0.21,0.5,First
41,weather1,0.19,0.11,0.7,Second
45,weather1,0.44,0.33,0.22,First
45,weather1,0.32,0.2,0.49,Second
53,weather1,0.21,0.17,0.62,First
53,weather1,0.24,0.16,0.6,Second
65,weather1,0.45,0.2,0.35,First
65,weather1,0.52,0.04,0.44,Second
69,weather1,0.41,0.27,0.33,First
69,weather1,0.29,0.31,0.4,Second
73,weather1,0.3,0.09,0.61,First
73,weather1,0.22,0.09,0.69,Second
77,weather1,0.25,0.12,0.62,First
77,weather1,0.26,0.05,0.68,Second
93,weather1,0.28,0.1,0.62,First
93,weather1,0.35,0.23,0.42,Second
97,weather1,0.36,0.12,0.52,First
97,weather1,0.19,0.11,0.7,Second
9,faa1,0.2,0.07,0.73,First
9,faa1,0.29,0.22,0.49,Second
109,faa1,0.25,0.16,0.59,First
109,faa1,0.21,0.15,0.63,Second
13,faa1,0.34,0.28,0.38,First
13,faa1,0.28,0.16,0.56,Second
21,faa1,0.17,0.07,0.76,First
21,faa1,0.07,0.05,0.88,Second
33,faa1,0.23,0.11,0.66,First
33,faa1,0.23,0.21,0.56,Second
37,faa1,0.36,0.17,0.47,First
37,faa1,0.37,0.31,0.32,Second
41,faa1,0.16,0.06,0.78,First
41,faa1,0.39,0.13,0.48,Second
45,faa1,0.26,0.21,0.53,First
45,faa1,0.2,0.07,0.73,Second
57,faa1,0.21,0.1,0.69,First
57,faa1,0.4,0.23,0.37,Second
65,faa1,0.29,0.06,0.65,First
65,faa1,0.29,0.14,0.57,Second
69,faa1,0.33,0.26,0.41,First
69,faa1,0.31,0.26,0.43,Second
81,faa1,0.34,0.09,0.57,First
81,faa1,0.31,0.18,0.51,Second
85,faa1,0.29,0.19,0.52,First
85,faa1,0.23,0.14,0.64,Second
89,faa1,0.22,0.27,0.51,First
89,faa1,0.17,0.15,0.68,Second
93,faa1,0.15,0.28,0.57,First
93,faa1,0.24,0.11,0.66,Second
