Users,Datasets,Add,Remove,Keep,Tasks,Phase
1,birdstrikes1,0.33,0.0,0.67,t1,First
1,birdstrikes1,0.0,0.0,1.0,t1,Second
1,birdstrikes1,0.38,0.38,0.25,t4,First
1,birdstrikes1,0.4,0.33,0.27,t4,Second
5,birdstrikes1,0.31,0.0,0.69,t1,First
5,birdstrikes1,0.18,0.45,0.36,t1,Second
5,birdstrikes1,0.33,0.0,0.67,t2,First
5,birdstrikes1,0.0,0.0,1.0,t2,Second
5,birdstrikes1,0.3,0.1,0.6,t3,First
5,birdstrikes1,0.14,0.14,0.71,t3,Second
5,birdstrikes1,0.32,0.14,0.55,t4,First
5,birdstrikes1,0.36,0.07,0.57,t4,Second
9,birdstrikes1,0.22,0.0,0.78,t1,First
9,birdstrikes1,0.41,0.41,0.18,t1,Second
9,birdstrikes1,0.5,0.43,0.07,t2,First
9,birdstrikes1,0.5,0.17,0.33,t2,Second
9,birdstrikes1,0.5,0.5,0.0,t3,First
9,birdstrikes1,0.47,0.27,0.27,t3,Second
9,birdstrikes1,0.53,0.2,0.27,t4,First
9,birdstrikes1,0.24,0.16,0.6,t4,Second
109,birdstrikes1,0.57,0.0,0.43,t1,First
109,birdstrikes1,0.22,0.11,0.67,t1,Second
109,birdstrikes1,0.57,0.29,0.14,t2,First
109,birdstrikes1,0.11,0.11,0.78,t2,Second
109,birdstrikes1,0.33,0.17,0.5,t3,First
109,birdstrikes1,0.09,0.03,0.88,t3,Second
109,birdstrikes1,0.25,0.19,0.56,t4,First
109,birdstrikes1,0.0,0.17,0.83,t4,Second
13,birdstrikes1,0.55,0.36,0.09,t1,First
13,birdstrikes1,1.0,0.0,0.0,t1,Second
13,birdstrikes1,0.27,0.09,0.64,t2,First
13,birdstrikes1,0.0,0.0,1.0,t2,Second
13,birdstrikes1,0.33,0.25,0.42,t3,First
13,birdstrikes1,0.22,0.0,0.78,t3,Second
13,birdstrikes1,0.29,0.29,0.43,t4,First
13,birdstrikes1,0.29,0.21,0.5,t4,Second
25,birdstrikes1,0.35,0.19,0.46,t1,First
25,birdstrikes1,0.29,0.07,0.64,t1,Second
25,birdstrikes1,0.33,0.0,0.67,t2,First
25,birdstrikes1,0.0,0.0,1.0,t2,Second
25,birdstrikes1,0.62,0.25,0.12,t3,First
25,birdstrikes1,0.21,0.29,0.5,t3,Second
25,birdstrikes1,0.29,0.17,0.54,t4,First
25,birdstrikes1,0.21,0.29,0.5,t4,Second
29,birdstrikes1,0.4,0.2,0.4,t2,First
29,birdstrikes1,0.0,0.0,1.0,t2,Second
29,birdstrikes1,0.4,0.1,0.5,t3,First
29,birdstrikes1,0.0,0.0,1.0,t3,Second
29,birdstrikes1,0.4,0.2,0.4,t4,First
29,birdstrikes1,0.25,0.25,0.5,t4,Second
33,birdstrikes1,0.64,0.27,0.09,t1,First
33,birdstrikes1,0.0,0.0,1.0,t1,Second
33,birdstrikes1,0.25,0.0,0.75,t2,First
33,birdstrikes1,0.0,0.0,1.0,t2,Second
33,birdstrikes1,0.16,0.05,0.79,t3,First
33,birdstrikes1,0.0,0.0,1.0,t3,Second
33,birdstrikes1,0.33,0.14,0.52,t4,First
33,birdstrikes1,0.32,0.23,0.45,t4,Second
37,birdstrikes1,0.44,0.22,0.33,t2,First
37,birdstrikes1,0.2,0.0,0.8,t2,Second
37,birdstrikes1,0.43,0.14,0.43,t3,First
37,birdstrikes1,0.4,0.2,0.4,t3,Second
37,birdstrikes1,0.44,0.28,0.28,t4,First
37,birdstrikes1,0.42,0.46,0.12,t4,Second
53,birdstrikes1,0.4,0.1,0.5,t1,First
53,birdstrikes1,0.38,0.38,0.25,t1,Second
53,birdstrikes1,0.25,0.0,0.75,t2,First
53,birdstrikes1,0.0,0.0,1.0,t2,Second
53,birdstrikes1,0.33,0.11,0.56,t3,First
53,birdstrikes1,0.33,0.17,0.5,t3,Second
53,birdstrikes1,0.33,0.17,0.5,t4,First
53,birdstrikes1,0.45,0.45,0.09,t4,Second
57,birdstrikes1,0.83,0.17,0.0,t1,First
57,birdstrikes1,0.0,0.0,1.0,t1,Second
57,birdstrikes1,0.56,0.22,0.22,t2,First
57,birdstrikes1,0.08,0.08,0.83,t2,Second
57,birdstrikes1,0.25,0.0,0.75,t3,First
57,birdstrikes1,0.0,0.0,1.0,t3,Second
57,birdstrikes1,0.27,0.0,0.73,t4,First
57,birdstrikes1,0.38,0.31,0.31,t4,Second
61,birdstrikes1,0.29,0.09,0.62,t1,First
61,birdstrikes1,0.05,0.0,0.95,t1,Second
61,birdstrikes1,0.38,0.25,0.38,t3,First
61,birdstrikes1,0.16,0.11,0.74,t3,Second
61,birdstrikes1,0.0,0.14,0.86,t4,First
61,birdstrikes1,0.17,0.0,0.83,t4,Second
73,birdstrikes1,0.86,0.0,0.14,t1,First
73,birdstrikes1,0.43,0.14,0.43,t1,Second
73,birdstrikes1,0.17,0.06,0.78,t2,First
73,birdstrikes1,0.0,0.0,1.0,t2,Second
73,birdstrikes1,0.45,0.09,0.45,t3,First
73,birdstrikes1,0.14,0.0,0.86,t3,Second
73,birdstrikes1,0.23,0.38,0.38,t4,First
73,birdstrikes1,0.27,0.36,0.36,t4,Second
77,birdstrikes1,0.33,0.0,0.67,t1,First
