Users,Datasets,Add,Remove,Keep,Tasks
1,birdstrikes1,0.1,0.0,0.9,t1
1,birdstrikes1,0.5,0.0,0.5,t2
1,birdstrikes1,0.6,0.0,0.4,t3
1,birdstrikes1,0.39,0.35,0.26,t4
5,birdstrikes1,0.25,0.21,0.54,t1
5,birdstrikes1,0.22,0.0,0.78,t2
5,birdstrikes1,0.21,0.12,0.67,t3
5,birdstrikes1,0.33,0.11,0.56,t4
9,birdstrikes1,0.35,0.27,0.38,t1
9,birdstrikes1,0.5,0.35,0.15,t2
9,birdstrikes1,0.47,0.32,0.21,t3
9,birdstrikes1,0.35,0.17,0.47,t4
109,birdstrikes1,0.38,0.06,0.56,t1
109,birdstrikes1,0.31,0.19,0.5,t2
109,birdstrikes1,0.13,0.05,0.82,t3
109,birdstrikes1,0.18,0.18,0.64,t4
13,birdstrikes1,0.76,0.19,0.05,t1
13,birdstrikes1,0.2,0.07,0.73,t2
13,birdstrikes1,0.29,0.14,0.57,t3
13,birdstrikes1,0.29,0.24,0.48,t4
25,birdstrikes1,0.33,0.15,0.53,t1
25,birdstrikes1,0.22,0.0,0.78,t2
25,birdstrikes1,0.36,0.27,0.36,t3
25,birdstrikes1,0.26,0.21,0.53,t4
29,birdstrikes1,1.0,0.0,0.0,t1
29,birdstrikes1,0.33,0.17,0.5,t2
29,birdstrikes1,0.25,0.06,0.69,t3
29,birdstrikes1,0.33,0.22,0.44,t4
33,birdstrikes1,0.47,0.2,0.33,t1
33,birdstrikes1,0.12,0.0,0.88,t2
33,birdstrikes1,0.09,0.03,0.88,t3
33,birdstrikes1,0.33,0.19,0.49,t4
37,birdstrikes1,0.62,0.0,0.38,t1
37,birdstrikes1,0.36,0.14,0.5,t2
37,birdstrikes1,0.42,0.17,0.42,t3
37,birdstrikes1,0.43,0.38,0.19,t4
53,birdstrikes1,0.38,0.27,0.35,t1
53,birdstrikes1,0.2,0.0,0.8,t2
53,birdstrikes1,0.33,0.13,0.53,t3
53,birdstrikes1,0.39,0.3,0.3,t4
57,birdstrikes1,0.29,0.06,0.65,t1
57,birdstrikes1,0.29,0.14,0.57,t2
57,birdstrikes1,0.15,0.0,0.85,t3
57,birdstrikes1,0.32,0.16,0.52,t4
61,birdstrikes1,0.2,0.05,0.75,t1
